datetime;total_votes;Lay_Lady_Lay;rockamark;not;sly2m;Qumnica;Deneo;voklo;akuaku;kotophalk;kiLstrom
2019-10-09 04:19:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:20:58;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:21:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:22:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:23:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:24:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:25:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:26:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:27:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:28:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:29:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:30:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:31:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:32:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:33:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:34:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:35:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:36:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:37:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:38:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:39:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:40:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:41:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:42:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:43:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:44:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:45:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:46:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:47:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:49:00;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:49:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:50:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:51:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:52:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:53:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:54:59;33;3;6;4;0;4;3;3;0;2;1
