datetime;total_votes;ante;Tae4ka;bf6;wintercyclone;rockamark;Helengar;MsRobinson;BlackIrony;gelatelno;Salt
2020-02-26 02:39:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:40:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:41:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:42:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:43:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:44:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:45:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:46:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:47:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:48:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:49:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:50:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:51:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:52:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:53:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:54:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:55:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:56:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:57:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:58:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:59:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:00:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:01:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:02:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:04:00;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:04:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:05:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:06:59;40;13;1;7;5;1;0;3;2;1;0
2020-02-26 03:07:58;40;13;1;7;5;1;0;3;2;1;0
2020-02-26 03:08:59;40;13;1;7;5;1;0;3;2;1;0
2020-02-26 03:09:59;40;13;1;7;5;1;0;3;2;1;0
2020-02-26 03:11:00;40;13;1;7;5;1;0;3;2;1;0
2020-02-26 03:11:58;40;13;1;7;5;1;0;3;2;1;0
2020-02-26 03:12:59;41;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:13:59;41;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:14:58;41;13;0;7;5;1;1;3;2;1;0
2020-02-26 03:15:59;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:16:59;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:17:58;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:18:59;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:19:59;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:21:00;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:21:58;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:22:59;42;14;0;7;5;1;1;3;2;1;0
