datetime;total_votes;Rumpelstilzchen;navalny;shamanka2_0;KOCTOPE3;Есения;ruweb;quick_justice;mahinaci9;kotophalk;Trudofobique
2020-10-07 04:52:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:53:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:54:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:55:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:56:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:57:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:58:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:59:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:00:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:01:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:02:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:03:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:04:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:05:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:06:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:07:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:08:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:09:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:10:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:11:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:12:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:13:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 05:14:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:15:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:16:58;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:17:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:18:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:19:58;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:20:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:21:58;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:22:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:23:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:24:58;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:25:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:26:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:27:58;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:28:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:29:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:30:58;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:31:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:32:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:33:58;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:34:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:35:59;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:36:58;47;20;6;2;2;0;1;3;0;0;3
2020-10-07 05:37:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:38:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:39:58;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:40:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:41:58;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:42:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:43:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:44:58;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:45:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:46:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:47:58;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:48:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:49:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:50:58;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:51:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:52:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:53:58;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:54:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:55:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:56:58;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:57:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:58:58;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 05:59:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 06:00:59;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 06:01:58;48;20;7;2;2;0;1;3;0;0;3
2020-10-07 06:02:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:03:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:04:58;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:05:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:06:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:07:58;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:08:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:09:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:10:58;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:11:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:12:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:13:58;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:14:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:15:58;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:16:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:17:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:18:58;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:19:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:20:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:21:58;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:22:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:23:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:24:58;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:25:59;49;21;7;2;2;0;1;3;0;0;3
2020-10-07 06:26:59;49;21;7;2;2;0;1;3;0;0;3
