datetime;total_votes;ruweb;atomic_gun;ksiam;axxl;PVN;few;Bruja_;Barkas;kross;KOCTOPE3
2020-03-25 06:05:58;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:06:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:07:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:08:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:09:58;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:10:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:11:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:12:58;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:13:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:14:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:15:58;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:16:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:17:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:18:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:19:58;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:20:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:21:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:22:58;90;28;30;4;3;6;3;2;0;3;0
2020-03-25 06:23:59;90;28;30;4;3;6;3;2;0;3;0
2020-03-25 06:24:59;90;28;30;4;3;6;3;2;0;3;0
2020-03-25 06:25:59;90;28;30;4;3;6;3;2;0;3;0
2020-03-25 06:26:58;91;28;31;4;3;6;3;2;0;3;0
2020-03-25 06:27:59;91;28;31;4;3;6;3;2;0;3;0
2020-03-25 06:28:58;91;28;31;4;3;6;3;2;0;3;0
2020-03-25 06:29:59;91;28;31;4;3;6;3;2;0;3;0
2020-03-25 06:30:59;91;28;31;4;3;6;3;2;0;3;0
2020-03-25 06:31:59;91;28;31;4;3;6;3;2;0;3;0
2020-03-25 06:32:58;91;28;31;4;3;6;3;2;0;3;0
