datetime;total_votes;pavelomg;DrumBox;Dirtylieutenant;kamutahirovata;rockamark;megalomaniac;Zabava;mvgolubev;Lay_Lady_Lay;Palad1n
2019-12-25 04:08:58;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 04:09:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:10:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:11:58;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:12:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:13:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:14:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:15:58;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:16:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:17:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:18:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:19:58;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:20:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:21:58;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:22:59;45;0;9;6;2;5;3;5;1;2;2
2019-12-25 04:23:59;46;0;9;6;2;5;3;5;1;2;3
2019-12-25 04:24:59;46;0;9;6;2;5;3;5;1;2;3
2019-12-25 04:25:58;46;0;9;6;2;5;3;5;1;2;3
2019-12-25 04:26:59;46;0;9;6;2;5;3;5;1;2;3
2019-12-25 04:27:59;46;0;9;6;2;5;3;5;1;2;3
2019-12-25 04:28:58;46;0;9;6;2;5;3;5;1;2;3
2019-12-25 04:29:59;46;0;9;6;2;5;3;5;1;2;3
2019-12-25 04:30:59;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:31:59;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:32:58;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:33:59;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:34:58;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:35:59;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:36:58;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:37:59;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:38:59;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:39:58;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:40:59;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:41:59;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:42:58;47;0;9;6;2;5;3;5;2;2;3
2019-12-25 04:43:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:44:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:45:58;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:46:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:47:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:48:58;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:49:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:50:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:51:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:52:58;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:53:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:54:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:55:58;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:56:59;48;0;9;7;2;5;3;5;2;2;3
