datetime;total_votes;Jey;Mindsplitter;Rumpelstilzchen;Yardrey;Good;Volodya_FM;mama_p_zh;telegraf;pazoozoo;Bruja_
2021-01-20 06:09:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:10:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:11:58;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:12:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:13:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:14:58;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:15:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:16:58;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:17:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:18:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:20:00;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:20:58;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:21:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:22:58;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:23:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:24:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:25:58;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:26:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:27:58;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:28:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:29:59;78;19;21;6;4;4;0;4;3;2;0
2021-01-20 06:30:58;79;19;21;6;4;4;0;4;3;2;2
