datetime;total_votes;PhaoBao;Есения;bigmouse;Umgewandelt;Trudofobermeins;brammator;Patagonia;kotophalk;bf6;Salt
2020-02-12 03:34:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:35:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:36:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:37:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:38:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:39:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:40:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:41:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:42:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:43:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:44:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:45:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:46:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:47:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:48:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:49:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:50:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:51:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:52:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:53:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:54:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:55:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:56:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:57:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:58:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 03:59:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:00:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:01:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:02:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:03:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:04:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:05:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:06:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:07:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:08:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:09:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:10:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:11:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:12:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:13:58;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:14:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:15:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:16:59;28;2;7;4;1;0;3;0;0;0;0
2020-02-12 04:17:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:18:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:19:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:20:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:21:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:22:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:23:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:24:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:25:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:26:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:27:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:28:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:29:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:30:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:31:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:32:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:33:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:34:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:35:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:36:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:37:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:38:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:39:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:40:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:41:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:42:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:43:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:44:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:45:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:46:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:47:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:48:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:49:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:50:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:51:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:52:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:53:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:54:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:55:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:56:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:57:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:58:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 04:59:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:00:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:01:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:02:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:03:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:04:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:05:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:06:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:07:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:08:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:09:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:10:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:11:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:12:59;29;3;7;4;0;0;3;0;1;0;0
