datetime;total_votes;jovan;pashkowski;KOCTOPE3;paramed;pupsique;Helengar;yachik;bigmouse;praktik;Есения
2019-05-01 07:00:59;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 07:01:58;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 07:02:59;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 07:03:59;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 07:04:58;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 07:05:59;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 07:06:59;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 07:07:58;42;16;3;4;3;0;0;3;0;0;1
2019-05-01 07:08:59;42;16;3;4;3;0;0;3;0;0;1
2019-05-01 07:09:59;42;16;3;4;3;0;0;3;0;0;1
2019-05-01 07:10:58;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:11:59;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:12:58;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:13:59;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:14:59;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:15:59;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:16:58;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:17:59;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:18:58;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:19:59;43;17;3;4;3;0;0;3;0;0;1
2019-05-01 07:20:59;44;17;3;5;3;0;0;3;0;0;1
2019-05-01 07:21:58;44;17;3;5;3;0;0;3;0;0;1
2019-05-01 07:22:59;44;17;3;5;3;0;0;3;0;0;1
2019-05-01 07:23:59;45;17;3;5;4;0;0;3;0;0;1
2019-05-01 07:24:58;45;17;3;5;4;0;0;3;0;0;1
2019-05-01 07:25:59;46;18;3;5;4;0;0;3;0;0;1
2019-05-01 07:26:59;46;18;3;5;4;0;0;3;0;0;1
2019-05-01 07:27:58;46;18;3;5;4;0;0;3;0;0;1
2019-05-01 07:28:59;47;19;3;5;4;0;0;3;0;0;1
2019-05-01 07:29:59;47;19;3;5;4;0;0;3;0;0;1
2019-05-01 07:30:58;48;19;4;5;4;0;0;3;0;0;1
2019-05-01 07:31:59;48;19;4;5;4;0;0;3;0;0;1
2019-05-01 07:32:58;48;19;4;5;4;0;0;3;0;0;1
2019-05-01 07:33:59;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:34:58;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:35:59;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:36:59;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:37:58;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:38:59;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:39:59;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:40:58;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:41:59;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:42:59;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:43:58;49;20;4;5;4;0;0;3;0;0;1
2019-05-01 07:44:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:45:58;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:46:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:47:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:48:58;52;23;4;5;4;0;0;3;0;0;1
