datetime;total_votes;Good;Tomintoul;megalomaniac;KOCTOPE3;Duran;Mindsplitter;Villanelle;Shambala;quick_justice;Rumpelstilzchen
2021-01-13 02:58:59;78;0;31;13;1;0;3;5;3;0;2
2021-01-13 02:59:58;78;0;31;13;1;0;3;5;3;0;2
2021-01-13 03:00:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:01:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:02:58;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:03:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:04:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:05:58;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:06:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:07:58;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:08:58;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:09:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:10:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:11:58;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:12:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:13:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:14:58;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:15:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:16:59;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:17:58;79;0;32;13;1;0;3;5;3;0;2
2021-01-13 03:18:59;80;0;33;13;1;0;3;5;3;0;2
2021-01-13 03:19:59;80;0;33;13;1;0;3;5;3;0;2
2021-01-13 03:20:58;80;0;33;13;1;0;3;5;3;0;2
2021-01-13 03:21:59;80;0;33;13;1;0;3;5;3;0;2
2021-01-13 03:22:59;80;0;33;13;1;0;3;5;3;0;2
2021-01-13 03:23:58;81;0;33;13;1;0;3;6;3;0;2
2021-01-13 03:24:59;81;0;33;13;1;0;3;6;3;0;2
2021-01-13 03:25:58;81;0;33;13;1;0;3;6;3;0;2
2021-01-13 03:26:59;81;0;33;13;1;0;3;6;3;0;2
2021-01-13 03:27:59;81;0;33;13;1;0;3;6;3;0;2
2021-01-13 03:28:58;82;0;34;13;1;0;3;6;3;0;2
2021-01-13 03:29:59;83;0;34;13;1;0;3;6;3;0;2
2021-01-13 03:30:59;83;0;34;13;1;0;3;6;3;0;2
2021-01-13 03:31:58;83;0;34;13;1;0;3;6;3;0;2
2021-01-13 03:32:59;83;0;34;13;1;0;3;6;3;0;2
2021-01-13 03:33:59;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:34:58;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:35:59;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:36:59;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:37:58;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:38:59;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:39:58;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:40:59;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:41:59;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:42:58;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:43:59;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:44:59;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:45:58;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:46:59;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:47:58;84;0;35;13;1;0;3;6;3;0;2
2021-01-13 03:48:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:49:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:50:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:51:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:52:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:53:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:55:00;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:55:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:56:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:57:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:58:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 03:59:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:00:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:01:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:02:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:03:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:05:00;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:05:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:06:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:07:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:08:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:09:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:10:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:11:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:12:59;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:13:58;85;0;35;13;1;0;3;7;3;0;2
2021-01-13 04:14:59;86;0;36;13;1;0;3;7;3;0;2
2021-01-13 04:15:59;86;0;36;13;1;0;3;7;3;0;2
2021-01-13 04:16:58;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:17:59;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:18:58;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:19:59;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:20:59;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:21:58;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:22:59;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:23:58;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:24:59;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:25:59;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:26:58;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:27:59;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:28:59;87;0;36;13;2;0;3;7;3;0;2
