datetime;total_votes;Private_Ryan;Bf109H;axxl;xtal;Есения;navalny;Noforhamsters;megaslowpoke;Vikvalan;pupsique
2020-08-12 04:11:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:12:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:13:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:14:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:15:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:16:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:17:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:18:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:19:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:20:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:21:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:22:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:23:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:24:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:25:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:26:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:27:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:28:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:29:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:30:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:31:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:32:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:33:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:34:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:35:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:36:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:37:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:38:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:39:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:40:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:41:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:42:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:43:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:44:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:45:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:46:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:47:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:48:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:49:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:50:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:51:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:52:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:53:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:54:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:55:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:56:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:57:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:58:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:59:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:00:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:01:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:02:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:03:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:04:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:05:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:06:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:07:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:08:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 05:09:58;39;7;11;2;4;2;0;0;2;0;0
2020-08-12 05:10:59;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:11:59;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:12:58;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:13:59;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:15:00;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:15:58;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:16:59;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:17:58;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:18:59;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:19:59;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:20:58;39;8;10;2;4;2;0;0;2;0;0
2020-08-12 05:21:59;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:22:59;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:23:58;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:24:59;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:26:00;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:26:58;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:27:59;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:28:58;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:29:59;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:30:59;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:31:58;40;8;10;2;4;2;0;1;2;0;0
2020-08-12 05:32:59;41;9;10;2;4;2;0;1;2;0;0
2020-08-12 05:33:59;41;9;10;2;4;2;0;1;2;0;0
2020-08-12 05:34:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:35:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:36:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:37:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:38:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:39:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:40:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:41:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:42:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:43:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:44:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:45:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:46:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:47:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:48:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:49:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:50:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:51:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:52:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:53:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:54:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:55:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:56:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:57:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:58:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 05:59:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:00:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:01:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:02:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:03:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:04:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:05:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:06:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:07:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:08:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:09:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:10:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:11:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:12:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:13:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:14:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:16:00;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:16:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:17:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:18:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:19:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:20:58;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:21:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:22:59;42;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:23:58;43;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:24:59;43;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:25:59;43;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:26:58;43;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:27:59;43;9;11;2;4;2;0;1;2;0;0
2020-08-12 06:28:58;43;9;11;2;4;2;0;1;2;0;0
