datetime;total_votes;mvgolubev;Bf109H;Qumnica;acckiy;megaslowpoke;UndeadMoroz;Terkin;BbIBuX;Fitzmaurice;KOCTOPE3
2020-03-11 03:58:58;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:59:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:00:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:01:58;31;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:02:59;31;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:03:59;31;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:05:00;31;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:05:58;31;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:06:59;31;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:07:58;31;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:08:59;31;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:09:59;31;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:11:00;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:11:58;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:12:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:13:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:14:58;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:15:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:16:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:17:58;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:18:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:19:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:20:58;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:21:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:22:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:23:58;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:24:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:25:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:26:58;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:27:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:28:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:29:58;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:30:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:31:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:32:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:33:58;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:34:59;31;7;5;4;1;0;1;1;0;0;1
2020-03-11 04:35:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:36:58;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:37:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:38:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:40:00;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:40:58;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:41:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:42:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:43:58;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:44:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:45:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:46:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:47:58;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:48:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:49:59;32;7;6;4;1;0;1;1;0;0;1
2020-03-11 04:50:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 04:51:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 04:52:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 04:53:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 04:54:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 04:55:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 04:56:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 04:57:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 04:58:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 04:59:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:00:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:01:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:02:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:03:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:04:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:05:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:06:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:07:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:08:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:09:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:10:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:11:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:12:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:13:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:14:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:15:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:16:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:17:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:18:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:19:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:20:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:21:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:22:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:23:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:24:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:25:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:26:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:27:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:28:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:29:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:30:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:31:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:32:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:33:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:34:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:35:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:36:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:37:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:38:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:39:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:40:58;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:41:59;33;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:42:59;32;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:43:59;32;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:44:59;32;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:45:59;32;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:46:59;32;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:47:59;32;7;7;4;1;0;1;1;0;0;1
2020-03-11 05:48:58;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:49:59;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:50:59;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:51:59;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:52:58;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:53:59;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:54:59;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:55:58;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:56:59;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:57:59;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:58:58;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 05:59:59;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 06:00:59;33;8;7;4;1;0;1;1;0;0;1
2020-03-11 06:01:58;34;9;7;4;1;0;1;1;0;0;1
2020-03-11 06:02:59;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:03:59;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:05:00;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:05:58;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:06:59;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:07:58;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:08:59;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:09:59;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:10:58;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:11:59;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:12:59;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:13:58;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:14:59;35;9;8;4;1;0;1;1;0;0;1
2020-03-11 06:15:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:16:58;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:17:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:18:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:19:58;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:20:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:21:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:22:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:23:58;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:24:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:25:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:26:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:27:58;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:28:59;36;9;9;4;1;0;1;1;0;0;1
2020-03-11 06:29:59;36;9;9;4;1;0;1;1;0;0;1
