datetime;total_votes;cmapukocmankypum;KOCTOPE3;pupsique;rockamark;paramed;brammator;Есения;tutabrain;kilogramm;navalny
2019-05-22 03:01:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:02:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:03:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:04:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:05:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:06:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:07:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:08:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:09:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:10:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:11:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:12:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:13:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:14:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:15:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:16:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:17:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:18:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:19:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:20:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:21:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:22:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:23:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:24:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:25:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:26:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:27:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:28:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:29:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:30:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:31:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:32:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:33:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:34:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:35:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:36:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:37:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:38:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:39:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:40:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:41:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:42:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:43:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:44:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:45:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:46:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:47:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:48:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:49:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:50:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:51:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:52:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:53:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:54:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:55:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:56:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:57:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:58:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:59:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:00:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:01:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:02:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:03:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:04:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:06:00;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:06:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:07:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:08:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:09:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:10:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:11:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:12:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:14:00;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:14:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:15:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:16:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:17:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:18:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:19:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:20:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:21:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:22:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:23:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:24:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:25:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:26:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:27:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:28:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:29:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:30:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:31:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:32:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:33:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:34:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:35:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:36:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:37:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:38:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:39:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:40:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:41:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:42:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:43:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 04:44:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:45:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:46:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:47:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:48:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:49:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:50:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:51:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:52:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:53:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:54:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:55:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:56:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:57:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:58:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 04:59:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:00:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:01:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:02:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:03:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:04:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:05:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:06:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:07:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:09:00;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:09:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:10:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:11:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:12:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:13:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:14:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:16:00;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:16:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:17:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:18:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:19:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:20:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:21:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:22:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:23:58;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:24:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:25:59;23;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:26:58;24;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:27:59;24;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:28:59;24;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:29:58;24;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:30:59;24;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:31:59;24;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:32:58;24;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:33:59;24;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:34:59;24;3;5;0;3;0;2;0;0;2;0
2019-05-22 05:35:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:36:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:37:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:38:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:39:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:40:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:41:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:42:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:43:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:44:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:45:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:46:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:47:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:48:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:49:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:50:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:51:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:52:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:53:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:54:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:55:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:56:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:57:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:58:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 05:59:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:00:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:01:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:02:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:03:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:04:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:05:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:06:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:07:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:08:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:09:59;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:10:58;25;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:11:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:12:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:13:58;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:14:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:15:59;26;3;5;0;3;0;3;0;0;2;0
