datetime;total_votes;akuaku;telegraf;redslot;Есения;Kolbasevich;Daedra;kilogramm;vjik;BlackTulip;megaslowpoke
2020-06-10 03:15:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:16:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:18:00;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:18:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:19:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:20:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:21:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:22:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:23:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:24:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:25:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:26:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:27:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:28:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:29:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:30:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:31:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:32:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:33:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:34:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:35:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:36:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:37:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:38:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:39:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:40:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:41:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:42:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:43:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:44:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:45:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:46:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:47:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:48:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:49:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:50:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:51:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:52:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:53:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 03:54:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 03:55:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 03:56:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 03:57:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 03:58:59;36;12;10;4;1;0;1;1;0;2;0
