datetime;total_votes;KT;Volodya_FM;quick_justice;pereehal;navalny;Terkin;KOCTOPE3;Hexadecachoron;bf6;Kolbasevich
2020-07-08 03:09:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:10:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:11:58;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:12:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:13:58;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:14:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:15:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:16:58;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:17:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:18:58;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:19:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:20:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:21:58;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:22:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:23:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:24:58;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:25:59;75;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:26:58;75;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:27:59;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:28:59;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:29:58;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:30:59;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:31:59;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:32:58;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:33:59;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:34:58;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:35:59;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:36:59;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:37:58;76;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:38:59;77;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:39:59;77;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:40:58;77;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:41:59;77;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:42:58;77;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:43:59;77;25;12;13;3;0;1;2;2;0;0
2020-07-08 03:44:58;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:45:59;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:46:59;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:47:58;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:48:59;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:49:59;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:50:58;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:51:59;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:52:59;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:53:58;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:54:59;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:55:58;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:56:59;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:57:59;78;25;13;13;3;0;1;2;2;0;0
2020-07-08 03:58:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 03:59:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:00:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:01:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:02:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:03:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:05:00;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:05:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:06:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:07:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:08:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:09:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:10:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:11:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:12:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:13:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:14:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:15:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:16:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:17:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:18:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:19:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:20:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:21:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:22:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:23:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:24:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:25:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:26:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:27:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:28:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:29:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:30:59;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:31:58;78;25;12;14;3;0;1;2;2;0;0
2020-07-08 04:32:59;79;25;13;14;3;0;1;2;2;0;0
2020-07-08 04:33:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:34:58;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:35:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:36:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:37:58;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:38:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:39:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:40:58;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:41:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:43:00;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:43:58;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:44:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:45:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:46:58;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:47:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:48:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:49:58;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:50:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:51:59;80;26;13;14;3;0;1;2;2;0;0
2020-07-08 04:52:58;82;28;13;14;3;0;1;2;2;0;0
2020-07-08 04:53:59;82;28;13;14;3;0;1;2;2;0;0
2020-07-08 04:54:59;82;28;13;14;3;0;1;2;2;0;0
2020-07-08 04:55:58;82;28;13;14;3;0;1;2;2;0;0
2020-07-08 04:56:59;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 04:57:58;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 04:58:59;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 04:59:59;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 05:00:58;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 05:01:59;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 05:02:58;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 05:03:59;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 05:04:59;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 05:05:58;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 05:06:59;83;28;13;15;3;0;1;2;2;0;0
2020-07-08 05:07:59;84;28;14;15;3;0;1;2;2;0;0
2020-07-08 05:08:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:09:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:10:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:11:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:12:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:13:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:14:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:15:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:16:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:17:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:18:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:19:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:20:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:21:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:22:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:23:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:24:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:25:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:26:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:27:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:28:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:29:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:30:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:31:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:32:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:33:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:34:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:35:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:36:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:37:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:38:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:39:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:40:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:41:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:42:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:43:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:44:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:45:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:46:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:47:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:48:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:49:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:50:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:51:59;86;28;16;15;3;0;1;2;2;0;0
