datetime;total_votes;mahinaci9;Hactar;Volodya_FM;Yardrey;dennou;navalny;quick_justice;shamanka2_0;Mindsplitter;Haktar
2020-11-04 03:24:59;79;30;8;13;3;4;3;2;0;4;0
2020-11-04 03:25:58;80;30;8;13;3;4;3;2;0;4;0
2020-11-04 03:26:59;81;31;8;13;3;4;3;2;0;4;0
2020-11-04 03:27:59;81;31;8;13;3;4;3;2;0;4;0
2020-11-04 03:28:58;81;31;8;13;3;4;3;2;0;4;0
2020-11-04 03:29:59;81;31;8;13;3;4;3;2;0;4;0
2020-11-04 03:30:59;81;31;8;13;3;4;3;2;0;4;0
2020-11-04 03:31:58;81;31;8;13;3;4;3;2;0;4;0
2020-11-04 03:32:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:33:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:34:58;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:35:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:36:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:37:58;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:38:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:39:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:40:58;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:41:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:42:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:43:58;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:44:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:45:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:46:58;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:47:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:48:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:49:58;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:50:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:51:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:52:58;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:53:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:54:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:55:58;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:56:59;83;31;9;13;3;4;3;2;0;4;0
2020-11-04 03:57:58;84;31;9;13;3;4;3;0;0;4;2
2020-11-04 03:58:59;84;31;9;13;3;4;3;0;0;4;2
2020-11-04 03:59:59;84;31;9;13;3;4;3;0;0;4;2
2020-11-04 04:00:58;84;31;9;13;3;4;3;0;0;4;2
2020-11-04 04:01:59;84;31;9;13;3;4;3;0;0;4;2
2020-11-04 04:02:59;84;31;9;13;3;4;3;0;0;4;2
2020-11-04 04:03:58;84;31;9;13;3;4;3;0;0;4;2
2020-11-04 04:04:59;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:05:59;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:06:58;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:07:59;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:08:58;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:09:59;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:10:59;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:11:58;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:12:59;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:13:59;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:14:58;85;32;9;13;3;4;3;0;0;4;2
2020-11-04 04:15:59;86;32;9;14;3;4;3;0;0;4;2
2020-11-04 04:16:59;87;33;9;14;3;4;3;0;0;4;2
2020-11-04 04:17:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:18:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:19:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:20:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:21:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:22:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:23:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:24:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:25:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:26:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:27:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:28:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:29:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:30:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:31:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:32:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:33:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:34:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:35:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:36:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:37:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:38:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:39:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:40:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:41:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:42:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:43:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:44:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:45:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:46:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:47:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:48:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:49:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:50:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:51:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:52:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:53:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:54:59;88;34;9;14;3;4;3;0;0;4;2
