datetime;total_votes;wRAR;Mutafakaz;Der_Sturmer;Yardrey;jovan;Terkin;Fo;Ircmaan;SoulMaker;ksolotl
2019-07-17 05:55:58;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:56:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:57:58;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:58:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:59:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 06:00:58;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 06:01:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 06:02:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 06:03:58;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 06:04:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 06:05:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 06:06:58;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 06:07:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:08:58;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:09:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:10:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:11:58;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:12:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:13:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:14:58;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:15:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:16:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:17:58;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:18:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:19:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:20:58;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:21:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:22:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:23:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:24:58;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:25:59;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:26:58;47;8;13;6;2;0;0;0;0;1;2
2019-07-17 06:27:59;48;8;13;6;2;0;0;0;0;2;2
2019-07-17 06:28:59;48;8;13;6;2;0;0;0;0;2;2
2019-07-17 06:29:58;48;8;13;6;2;0;0;0;0;2;2
2019-07-17 06:30:59;48;8;13;6;2;0;0;0;0;2;2
