datetime;total_votes;norpo;shamanka2_0;pavelomg;Есения;Bf109H;navalny;Rumpelstilzchen;Norbert Bebrueze;UndeadMoroz;Митяй
2020-09-30 03:46:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:47:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:48:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:49:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:50:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:51:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:52:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:53:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:54:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:55:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:56:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:57:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:58:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:59:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:00:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:01:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:02:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:03:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:04:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:05:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:06:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:07:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:08:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:09:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:11:00;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:11:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:13:00;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:13:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:14:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:15:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:16:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:17:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:18:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:19:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:20:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:21:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:22:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:23:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:24:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:26:00;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:26:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:27:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:28:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:29:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:31:00;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:31:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:32:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:33:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:34:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:35:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:36:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:37:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:38:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:39:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:40:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:41:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:42:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:43:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:44:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:45:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:46:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:47:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:48:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:50:00;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:50:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:51:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:52:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:53:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:54:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:55:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:56:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:57:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:58:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 04:59:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:00:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:01:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:02:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:03:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:04:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:05:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:06:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:07:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:08:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:09:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:10:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:11:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:12:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:13:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:14:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:15:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:16:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:17:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:18:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:19:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:20:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:21:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:22:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:23:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:24:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:25:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:26:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:27:58;36;4;0;2;5;0;0;3;1;2;0
