datetime;total_votes;Zubasteg;Mutafakaz;gizm0;megaslowpoke;sexychinagay;Zadorno;navalny;Zvag;Wiedemann;Shady
2020-05-13 04:14:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:15:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:16:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:17:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:18:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:19:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:20:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:22:00;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:22:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:23:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:24:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:25:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:26:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:27:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:28:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:29:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:30:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:31:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:32:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:33:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:34:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:35:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:36:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:37:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:38:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:39:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:40:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:41:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:42:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:43:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:44:58;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:45:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:46:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:47:58;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:48:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:49:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:50:58;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:51:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:52:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:53:58;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:54:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:55:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:56:58;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:57:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:58:59;129;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:59:58;130;22;21;18;16;0;15;2;15;2;3
2020-05-13 05:00:59;130;22;21;18;16;0;15;2;15;2;3
2020-05-13 05:01:59;130;22;21;18;16;0;15;2;15;2;3
2020-05-13 05:02:58;130;22;21;18;16;0;15;2;15;2;3
2020-05-13 05:03:59;130;22;21;18;16;0;15;2;15;2;3
2020-05-13 05:04:59;130;22;21;18;16;0;15;2;15;2;3
2020-05-13 05:05:58;131;22;22;18;16;0;15;2;15;2;3
2020-05-13 05:06:59;131;22;22;18;16;0;15;2;15;2;3
2020-05-13 05:07:59;131;22;22;18;16;0;15;2;15;2;3
2020-05-13 05:08:58;132;22;23;18;16;0;15;2;15;2;3
2020-05-13 05:09:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:10:58;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:11:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:12:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:13:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:14:58;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:15:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:16:58;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:17:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:18:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:19:58;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:20:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:21:58;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:22:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:23:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:24:58;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:25:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:26:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:27:58;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:28:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:29:59;133;22;23;18;16;0;15;2;16;2;3
2020-05-13 05:30:58;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:31:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:32:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:33:58;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:34:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:35:58;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:36:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:37:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:38:58;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:39:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:40:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:41:58;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:42:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:43:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:44:58;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:45:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:46:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:47:58;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:48:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:49:58;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:50:59;134;23;23;18;16;0;15;2;16;2;3
2020-05-13 05:51:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 05:52:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 05:53:58;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 05:54:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 05:55:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 05:56:58;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 05:57:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 05:58:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 05:59:58;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:00:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:01:58;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:02:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:03:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:05:00;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:05:58;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:06:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:07:58;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:08:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:09:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:10:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:11:58;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:12:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:13:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:14:58;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:15:59;134;23;24;18;16;0;15;0;16;2;3
2020-05-13 06:16:59;135;23;25;18;16;0;15;0;16;2;3
2020-05-13 06:17:58;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:18:59;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:19:59;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:20:58;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:21:59;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:22:58;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:23:59;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:24:59;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:25:59;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:26:58;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:27:59;136;23;26;18;16;0;15;0;16;2;3
2020-05-13 06:28:59;137;23;26;18;17;0;15;0;16;2;3
2020-05-13 06:29:58;137;23;26;18;17;0;15;0;16;2;3
2020-05-13 06:30:59;137;23;26;18;17;0;15;0;16;2;3
