datetime;total_votes;Tae4ka;yachik;jovan;Villanelle;telegraf;Есения;Grit;Mindsplitter;UndeadMoroz;Maxkatz
2021-01-06 03:51:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:52:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:53:58;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:54:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:55:58;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:56:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:57:58;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:58:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:59:58;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 04:00:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 04:01:58;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:02:59;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:03:58;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:04:59;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:05:59;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:06:58;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:07:59;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:08:59;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:09:58;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:10:59;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:11:58;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:12:59;64;19;15;7;6;1;5;2;1;1;2
2021-01-06 04:13:58;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:14:59;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:15:59;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:16:58;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:17:59;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:18:58;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:19:59;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:20:59;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:21:58;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:22:59;65;19;16;7;6;1;5;2;1;1;2
2021-01-06 04:23:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:24:58;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:25:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:26:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:27:58;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:28:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:30:00;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:30:58;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:31:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:32:58;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:33:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:34:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:35:58;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:36:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:37:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:38:58;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:39:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:40:58;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:41:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:42:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:43:58;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:44:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:45:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:46:58;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:47:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:48:59;66;19;16;7;6;1;5;2;1;0;2
2021-01-06 04:49:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:50:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:51:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:52:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:53:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:54:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:55:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:56:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:57:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:58:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 04:59:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:00:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:01:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:02:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:03:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:04:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:05:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:06:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:07:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:08:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:09:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:10:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:11:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:12:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:13:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:14:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:15:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:16:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:17:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:18:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:19:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:20:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:21:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:22:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:23:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:24:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:25:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:26:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:27:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:28:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:29:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:30:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:32:00;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:32:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:33:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:34:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:35:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:36:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:37:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:38:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:39:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:40:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:41:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:42:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:43:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:44:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:45:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:46:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:47:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:48:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:49:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:50:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:51:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:52:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:53:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:54:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:55:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:56:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:57:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:58:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 05:59:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:00:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:01:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:02:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:03:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:04:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:05:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:06:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:07:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:08:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:09:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:10:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:11:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:12:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:13:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:14:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:15:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:16:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:17:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:18:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:19:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:20:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:21:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:22:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:23:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:24:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:25:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:26:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:27:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:28:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:29:59;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:30:58;67;19;16;8;6;1;5;2;1;0;2
2021-01-06 06:31:59;67;19;16;8;6;1;5;2;1;0;2
