datetime;total_votes;tutabrain;rockamark;pupsique;markII;Есения;NoEndOutcry;XASSA;kilogramm;kotophalk;wintercyclone
2019-05-15 03:03:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:04:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:05:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:06:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:07:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:08:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:09:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:10:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:11:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:12:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:13:58;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:14:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:15:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:16:58;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:17:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:18:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:19:58;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:20:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:21:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:22:58;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:23:59;26;0;7;2;2;0;0;1;3;1;0
2019-05-15 03:24:59;27;0;7;2;2;0;0;1;3;0;1
2019-05-15 03:25:58;29;0;7;2;2;0;0;1;3;0;3
2019-05-15 03:26:59;29;0;7;2;2;0;0;1;3;0;3
2019-05-15 03:27:58;29;0;7;2;2;0;0;1;3;0;3
2019-05-15 03:28:59;29;0;7;2;2;0;0;1;3;0;3
2019-05-15 03:29:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:30:58;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:31:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:32:58;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:33:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:34:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:35:58;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:36:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:37:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:38:58;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:39:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:40:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:41:58;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:42:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:43:58;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:44:59;30;0;7;3;2;0;0;1;3;0;3
