datetime;total_votes;GlobetrotterXL;shamanka2_0;Yardrey;navalny;Fill;kross;xtend;Mapm;mama_p_zh;kotophalk
2020-11-25 03:03:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:04:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:05:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:06:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:07:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:08:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:09:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:10:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:11:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:12:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:13:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:15:00;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:15:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:16:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:18:00;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:18:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:19:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:20:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:21:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:22:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:23:58;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:24:59;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:25:59;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:26:58;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:27:59;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:28:59;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:29:58;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:30:59;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:31:59;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:32:58;47;13;12;3;3;2;4;0;0;0;2
2020-11-25 03:33:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:34:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:35:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:36:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:37:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:38:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:39:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:40:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:41:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:43:00;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:43:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:44:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:45:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:46:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:47:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:48:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:49:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:50:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:51:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:52:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:53:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:54:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:55:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:56:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:57:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:58:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 03:59:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:00:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:01:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:02:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:03:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:04:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:05:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:06:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:07:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:08:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:09:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:10:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:11:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:12:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:13:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:14:59;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:15:58;48;14;12;3;3;2;4;0;0;0;2
2020-11-25 04:16:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:17:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:18:58;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:19:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:20:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:21:58;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:22:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:23:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:24:58;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:25:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:26:58;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:27:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:28:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:29:58;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:30:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:31:59;49;15;12;3;3;2;4;0;0;0;2
2020-11-25 04:32:58;50;15;13;3;3;2;4;0;0;0;2
2020-11-25 04:33:59;50;15;13;3;3;2;4;0;0;0;2
