datetime;total_votes;Oleum;kross;Der_Sturmer;XASSA;UnbeabMoroz;Есения;NAFA;BlackIrony;xtend;Shilov
2020-01-08 05:04:59;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:05:59;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:06:59;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:07:58;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:08:59;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:09:59;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:10:58;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:11:59;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:12:59;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:13:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:14:58;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:15:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:16:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:17:58;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:18:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:19:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:20:58;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:21:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:22:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:23:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:24:58;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:25:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:26:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:27:58;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:28:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:29:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:30:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:31:58;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:32:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:33:58;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:34:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:35:59;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:36:58;50;11;20;4;2;1;2;0;0;2;2
2020-01-08 05:37:59;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:38:59;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:40:00;51;12;20;4;2;1;2;0;0;2;2
