datetime;total_votes;Private_Ryan;Shambala;voklo;praktik;SoulMaker;gelatelno;not;zgushonka;xiro;m0rf
2019-10-23 03:35:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:36:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:37:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:38:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:39:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:40:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:41:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:42:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:43:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:44:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:45:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:46:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:47:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:48:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:49:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:50:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:51:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:52:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:53:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:54:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:55:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:56:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:57:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:58:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 03:59:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:00:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:01:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:02:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:03:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:04:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:05:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:06:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:07:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:08:59;32;0;2;12;6;2;3;0;1;1;1
