datetime;total_votes;phb4;Zvag;Z-L-O;paramed;BURMAAAR;Needlefang;Der_Sturmer;Jayola;jovan;Zikka
2019-08-07 05:05:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:06:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:07:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:08:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:09:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:10:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:11:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:12:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:13:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:14:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:15:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:16:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:17:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:18:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:19:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:20:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:21:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:22:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:23:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:24:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:25:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:26:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:27:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:28:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:29:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:30:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:31:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:32:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:33:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:34:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:35:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:36:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:37:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:38:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:39:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:40:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:41:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:42:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:43:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:44:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:45:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:46:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:47:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:48:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:49:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:50:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:51:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:52:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:53:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:54:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:55:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:56:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:57:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:58:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 05:59:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:00:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:01:59;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:03:00;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:03:58;39;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:04:59;40;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:05:58;40;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:06:59;40;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:07:59;40;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:08:58;41;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:09:59;41;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:10:59;41;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:11:58;41;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:12:59;41;11;3;6;0;2;5;2;4;0;0
2019-08-07 06:13:58;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:14:59;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:15:59;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:16:58;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:17:59;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:18:59;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:19:58;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:20:59;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:21:59;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:22:58;43;12;3;6;0;2;5;3;4;0;0
2019-08-07 06:23:59;43;12;3;6;0;2;5;3;4;0;0
