datetime;total_votes;lublu-zubi;voklo;brammator;jovan;Hexadecachoron;paramed;UndeadMoroz;norpo;xiro;Mapm
2019-11-06 04:57:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 04:58:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 04:59:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:00:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:01:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:02:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:03:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:04:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:05:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:06:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:07:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:08:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:09:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:10:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:11:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:12:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:13:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:14:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:15:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:16:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:17:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:18:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:19:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:20:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:21:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:22:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:23:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 05:24:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:25:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:26:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:27:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:28:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:29:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:30:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:31:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:32:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:33:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:34:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:35:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:36:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:37:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:38:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:39:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:40:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:41:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:42:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:43:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:44:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:45:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:46:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:47:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:48:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:49:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:50:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:51:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:52:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:53:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:54:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:55:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:56:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:57:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:58:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 05:59:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:00:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:01:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:02:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:03:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:04:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:05:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:06:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:07:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:08:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:09:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:10:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:11:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:12:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:13:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:14:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:15:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:16:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:17:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:18:58;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:19:59;33;13;5;2;1;5;0;0;0;0;0
2019-11-06 06:20:59;34;13;5;2;1;5;0;0;0;1;0
2019-11-06 06:21:58;34;13;5;2;1;5;0;0;0;1;0
2019-11-06 06:22:59;35;13;5;2;1;5;0;0;0;2;0
2019-11-06 06:23:59;35;13;5;2;1;5;0;0;0;2;0
2019-11-06 06:24:58;35;13;5;2;1;5;0;0;0;2;0
2019-11-06 06:25:59;35;13;5;2;1;5;0;0;0;2;0
2019-11-06 06:26:59;35;13;5;2;1;5;0;0;0;2;0
2019-11-06 06:27:58;35;13;5;2;1;5;0;0;0;2;0
2019-11-06 06:28:59;35;13;5;2;1;5;0;0;0;2;0
2019-11-06 06:29:59;35;13;5;2;1;5;0;0;0;2;0
2019-11-06 06:30:59;35;13;5;2;1;5;0;0;0;2;0
2019-11-06 06:31:58;35;13;5;2;1;5;0;0;0;2;0
