datetime;total_votes;redslot;tutabrain;pupsique;mama_p_zh;ZevB3K;gnom_vorchun;brammator;UncleDre;rockamark;KOCTOPE3
2018-12-12 08:38:58;75;28;18;2;3;2;2;0;0;2;2
2018-12-12 08:39:59;75;28;18;2;3;2;2;0;0;2;2
2018-12-12 08:40:59;75;28;18;2;3;2;2;0;0;2;2
2018-12-12 08:41:58;75;28;18;2;3;2;2;0;0;2;2
2018-12-12 08:42:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:43:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:44:58;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:45:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:46:58;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:47:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:48:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:49:58;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:50:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:51:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:52:58;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:53:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:54:58;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:55:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:56:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:57:58;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:58:59;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 08:59:58;76;28;18;2;3;3;2;0;0;2;2
2018-12-12 09:00:59;77;28;18;2;3;3;2;0;0;2;2
2018-12-12 09:01:59;77;28;18;2;3;3;2;0;0;2;2
2018-12-12 09:02:58;77;28;18;2;3;3;2;0;0;2;2
2018-12-12 09:03:59;77;28;18;2;3;3;2;0;0;2;2
2018-12-12 09:04:59;77;28;18;2;3;3;2;0;0;2;2
2018-12-12 09:05:58;77;28;18;2;3;3;2;0;0;2;2
2018-12-12 09:06:59;78;28;18;2;3;3;2;0;2;2;0
2018-12-12 09:08:00;78;28;18;2;3;3;2;0;2;2;0
2018-12-12 09:08:58;78;28;18;2;3;3;2;0;2;2;0
2018-12-12 09:09:59;78;28;18;2;3;3;2;0;2;2;0
2018-12-12 09:10:58;79;28;19;2;3;3;2;0;2;2;0
2018-12-12 09:11:59;80;28;19;2;3;3;3;0;2;2;2
2018-12-12 09:12:58;80;28;19;2;3;3;3;0;2;2;2
2018-12-12 09:13:59;80;28;19;2;3;3;3;0;2;2;2
2018-12-12 09:14:59;80;28;19;2;3;3;3;0;2;2;2
2018-12-12 09:15:58;80;28;19;2;3;3;3;0;2;2;2
2018-12-12 09:16:59;80;28;19;2;3;3;3;0;2;2;2
2018-12-12 09:17:58;82;29;20;2;3;3;3;0;2;2;2
2018-12-12 09:18:59;82;29;20;2;3;3;3;0;2;2;2
2018-12-12 09:19:59;82;29;20;2;3;3;3;0;2;2;2
2018-12-12 09:20:58;82;29;20;2;3;3;3;0;2;2;2
2018-12-12 09:21:59;82;29;20;2;3;3;3;0;2;2;2
2018-12-12 09:22:58;82;29;20;2;3;3;3;0;2;2;2
2018-12-12 09:23:59;82;29;20;2;3;3;3;0;2;2;2
2018-12-12 09:24:59;82;29;20;2;3;3;3;0;2;2;2
2018-12-12 09:25:58;84;30;21;2;3;3;3;0;2;2;2
2018-12-12 09:26:59;84;30;21;2;3;3;3;0;2;2;2
2018-12-12 09:27:58;84;30;21;2;3;3;3;0;2;2;2
2018-12-12 09:28:59;84;30;21;2;3;3;3;0;2;2;2
2018-12-12 09:29:59;84;30;21;2;3;3;3;0;2;2;2
2018-12-12 09:30:58;84;30;21;2;3;3;3;0;2;2;2
2018-12-12 09:31:59;84;30;21;2;3;3;3;0;2;2;2
2018-12-12 09:32:59;85;30;22;2;3;3;3;0;2;2;2
2018-12-12 09:33:58;87;31;22;2;3;4;3;0;2;2;2
2018-12-12 09:34:59;87;31;22;2;3;4;3;0;2;2;2
2018-12-12 09:35:58;87;31;22;2;3;4;3;0;2;2;2
2018-12-12 09:36:59;89;33;22;2;3;4;3;0;2;2;2
2018-12-12 09:37:59;89;33;22;2;3;4;3;0;2;2;2
2018-12-12 09:38:58;89;33;22;2;3;4;3;0;2;2;2
2018-12-12 09:39:59;90;34;22;2;3;4;3;0;2;2;2
2018-12-12 09:40:59;90;34;22;2;3;4;3;0;2;2;2
2018-12-12 09:41:59;90;34;22;2;3;4;3;0;2;2;2
2018-12-12 09:42:58;91;35;22;2;3;4;3;0;2;2;2
2018-12-12 09:43:59;91;35;22;2;3;4;3;0;2;2;2
2018-12-12 09:45:00;91;35;22;2;3;4;3;0;2;2;2
2018-12-12 09:45:58;91;35;22;2;3;4;3;0;2;2;2
2018-12-12 09:46:59;91;35;22;2;3;4;3;0;2;2;2
2018-12-12 09:47:58;91;35;22;2;3;4;3;0;2;2;2
2018-12-12 09:48:59;91;35;22;2;3;4;3;0;2;2;2
2018-12-12 09:49:59;91;35;22;2;3;4;3;0;2;2;2
2018-12-12 09:50:58;92;36;22;2;3;4;3;0;2;2;2
2018-12-12 09:51:59;92;36;22;2;3;4;3;0;2;2;2
2018-12-12 09:52:59;92;36;22;2;3;4;3;0;2;2;2
2018-12-12 09:53:58;92;36;22;2;3;4;3;0;2;2;2
2018-12-12 09:54:59;92;36;22;2;3;4;3;0;2;2;2
2018-12-12 09:55:59;93;36;22;2;3;4;3;0;2;0;2
2018-12-12 09:56:58;94;37;22;2;3;4;3;0;2;0;2
2018-12-12 09:57:59;94;37;22;2;3;4;3;0;2;0;2
2018-12-12 09:58:59;95;37;22;3;3;4;3;0;2;0;2
