datetime;total_votes;Hmmm;Mapm;Terkin;rockamark;bear49;praktik;S_Semenenko;quick_justice;BUG;brammator
2019-06-26 02:55:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 02:56:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 02:57:58;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 02:58:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 02:59:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 03:00:58;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 03:01:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 03:02:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 03:03:58;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 03:04:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 03:05:58;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:06:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:07:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:08:58;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:09:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:10:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:11:58;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:12:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:13:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:14:58;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:15:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:16:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:17:58;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:18:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:19:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:20:58;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:21:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:22:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:23:58;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:24:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:25:58;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:26:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:27:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:28:58;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:29:59;54;12;11;6;3;1;1;2;0;0;0
2019-06-26 03:30:59;55;13;11;6;3;1;1;2;0;0;0
2019-06-26 03:31:58;56;13;11;6;3;1;1;2;1;0;0
2019-06-26 03:32:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:33:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:34:58;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:35:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:36:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:37:58;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:38:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:39:58;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:40:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:41:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:42:58;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:43:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:44:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:45:58;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:46:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:47:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:48:58;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:49:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:50:58;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:51:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:52:59;57;13;11;7;3;1;1;2;1;0;0
2019-06-26 03:53:58;58;13;11;8;3;1;1;2;1;0;0
2019-06-26 03:54:59;58;13;11;8;3;1;1;2;1;0;0
2019-06-26 03:55:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 03:56:58;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 03:57:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 03:58:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 03:59:58;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:00:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:01:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:02:58;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:03:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:04:58;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:05:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:06:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:07:58;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:08:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:09:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:10:58;59;14;11;8;3;1;1;2;1;0;0
