datetime;total_votes;Bf109H;Bruja_;navalny;Neymar_Junior;shamanka2_0;Der_Sturmer;roMoceK;Dirtylieutenant;kpya3e;quick_justice
2020-11-18 05:02:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:03:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:04:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:05:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:06:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:07:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:08:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:09:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:10:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:11:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:12:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:13:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:14:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:15:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:16:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:17:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:18:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:19:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:20:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:21:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:22:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:23:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:24:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:25:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:26:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:27:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:28:58;61;12;12;5;8;0;4;2;5;2;0
