datetime;total_votes;Yardrey;vdzrd;jovan;maria_ego;KOCTOPE3;Z-L-O;Есения;XASSA;ZevB3K;brammator
2018-12-19 03:21:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:22:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:23:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:24:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:25:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:26:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:27:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:28:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:29:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:30:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:32:00;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:32:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:33:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:34:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:35:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:36:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:37:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:38:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:39:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:40:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:41:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:42:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:43:58;46;9;9;7;0;2;3;4;0;1;0
2018-12-19 03:44:59;46;9;9;7;0;2;3;4;0;1;0
2018-12-19 03:45:58;46;9;9;7;0;2;3;4;0;1;0
2018-12-19 03:46:59;46;9;9;7;0;2;3;4;0;1;0
2018-12-19 03:47:59;46;9;9;7;0;2;3;4;0;1;0
2018-12-19 03:48:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:49:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:50:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:51:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:52:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:53:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:54:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:55:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:56:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:57:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 03:58:59;47;10;9;7;0;2;3;4;0;1;0
