datetime;total_votes;bullet-wilson;nenastja;brammator;jovan;ante;space_meow;Hexadecachoron;zgushonka;minddiffuzion;Fitzmaurice
2020-03-04 03:58:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 03:59:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:00:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:01:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:02:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:03:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:04:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:05:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:06:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:07:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:08:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:09:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:10:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:11:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:12:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:13:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:14:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:15:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:16:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:17:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:18:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:19:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:20:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:21:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:22:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:23:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:24:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:25:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:26:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:27:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:29:00;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:29:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:30:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:31:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:32:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:33:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:34:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:35:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:36:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:37:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:38:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:39:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:40:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:41:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:42:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:43:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:44:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:45:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:46:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:47:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:48:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:49:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:50:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:51:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:52:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:54:00;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:54:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:55:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:56:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:57:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:58:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 04:59:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:00:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:01:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:02:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:03:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:04:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:05:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:06:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:07:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:08:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:09:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:10:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:11:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:12:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:13:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:14:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:15:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:16:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:17:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:18:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:19:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:20:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:21:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:22:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:23:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:24:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:25:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:26:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:27:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:28:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:29:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:30:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:32:00;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:32:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:33:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:34:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:35:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:36:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:37:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:38:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:39:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:40:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:41:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:42:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:43:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:44:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:45:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:46:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:47:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:48:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:49:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:50:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:51:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:52:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:53:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:54:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:55:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:56:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:57:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:58:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 05:59:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:00:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:01:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:02:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:03:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:04:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:05:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:06:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:07:59;38;19;7;5;0;0;0;2;1;1;1
