datetime;total_votes;mad_crow;akuaku;Terkin;cmapukocmankypum;tutabrain;gelatelno;Fitzmaurice;navalny;Mr_Const;Nosy
2020-01-29 05:21:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:22:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:23:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:24:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:25:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:26:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:27:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:28:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:29:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:30:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:31:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:32:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:33:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:34:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:35:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:36:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:37:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:38:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:39:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:40:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:41:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:42:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:43:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:44:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:45:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:46:59;43;20;6;3;2;0;2;0;0;0;0
