datetime;total_votes;SuokSuok;cofee;Der_Sturmer;brammator;asap;DrumBox;Z-L-O;rockamark;voklo;kotophalk
2019-09-11 05:01:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:02:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:03:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:04:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:05:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:06:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:07:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:08:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:09:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:10:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:11:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:12:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:13:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:14:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:15:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:16:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:17:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:18:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:19:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:20:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:21:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:22:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:23:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:24:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:25:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:26:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:27:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:28:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:29:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:30:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:31:58;40;4;6;7;4;3;0;3;2;3;0
