datetime;total_votes;Deneo;akuaku;navalny;gelatelno;XASSA;lublu-zubi;Bleak;Есения;BoobkaGop;xiro
2019-10-02 03:47:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:48:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:49:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:50:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:51:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:52:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:53:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:54:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:55:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:56:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:57:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:58:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:59:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:00:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:01:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:02:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:03:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:04:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:05:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:06:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:07:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:08:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:09:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:10:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:11:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:12:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:13:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:14:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:15:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:16:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:17:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:18:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:19:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:20:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:21:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:22:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:23:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:24:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:25:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:26:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:27:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:28:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:29:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:30:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:31:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:32:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:33:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:34:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:35:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:36:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:38:00;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:38:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:39:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 04:40:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:41:58;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:42:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:43:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:44:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:45:58;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:46:59;32;0;7;2;8;4;2;2;0;0;0
