datetime;total_votes;Fill;kross;navalny;Hexadecachoron;KOCTOPE3;Der_Sturmer;Jey;ksolotl;Shady;Есения
2020-08-05 04:17:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:18:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:19:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:20:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:21:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:22:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:23:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:24:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:25:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:26:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:27:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:29:00;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:29:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:30:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:31:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:32:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:33:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:34:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:35:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:36:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:37:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:38:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:39:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:40:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:41:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:42:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:43:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:44:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:45:59;40;4;8;9;2;1;3;0;2;0;0
2020-08-05 04:46:58;40;4;8;9;2;1;3;0;2;0;0
2020-08-05 04:47:59;40;4;8;9;2;1;3;0;2;0;0
2020-08-05 04:48:59;40;4;8;9;2;1;3;0;2;0;0
2020-08-05 04:49:58;40;4;8;9;2;1;3;0;2;0;0
2020-08-05 04:50:59;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 04:51:59;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 04:52:58;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 04:53:59;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 04:54:59;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 04:55:58;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 04:56:59;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 04:57:58;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 04:58:59;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 04:59:59;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 05:00:58;41;4;8;9;2;2;3;0;2;0;0
2020-08-05 05:01:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:02:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:03:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:04:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:05:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:06:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:07:59;42;4;8;9;2;2;4;0;2;0;0
