datetime;total_votes;xromota;1917;KOCTOPE3;paramed;nzr;Schopenhauer;kiLstrom;bf6;Salt;Hexadecachoron
2019-11-27 05:21:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:22:58;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:23:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:24:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:25:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:26:58;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:27:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:28:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:29:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:30:58;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:31:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:32:58;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:33:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:34:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:35:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:36:58;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:37:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:38:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:39:58;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:40:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:41:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:42:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:43:58;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:44:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:45:59;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:46:58;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:47:58;33;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:48:59;34;6;7;0;0;2;3;3;0;0;0
2019-11-27 05:49:59;34;6;7;0;0;2;3;3;0;0;0
2019-11-27 05:50:58;34;6;7;0;0;2;3;3;0;0;0
2019-11-27 05:51:59;34;6;7;0;0;2;3;3;0;0;0
2019-11-27 05:52:59;34;6;7;0;0;2;3;3;0;0;0
2019-11-27 05:53:58;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 05:54:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 05:55:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 05:56:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 05:57:58;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 05:58:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 05:59:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:00:58;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:01:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:02:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:03:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:04:58;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:05:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:06:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:07:58;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:08:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:09:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:10:59;35;7;7;0;0;2;3;3;0;0;0
2019-11-27 06:11:58;36;7;8;0;0;2;3;3;0;0;0
2019-11-27 06:12:59;36;7;8;0;0;2;3;3;0;0;0
2019-11-27 06:13:59;37;7;8;0;0;2;3;3;0;0;0
2019-11-27 06:14:58;37;7;8;0;0;2;3;3;0;0;0
2019-11-27 06:15:59;37;7;8;0;0;2;3;3;0;0;0
2019-11-27 06:16:59;37;7;9;0;0;2;3;3;0;0;0
2019-11-27 06:17:58;37;7;9;0;0;2;3;3;0;0;0
2019-11-27 06:18:59;37;7;9;0;0;2;3;3;0;0;0
2019-11-27 06:19:59;37;7;9;0;0;2;3;3;0;0;0
2019-11-27 06:20:59;37;7;9;0;0;2;3;3;0;0;0
2019-11-27 06:21:58;37;7;9;0;0;2;3;3;0;0;0
2019-11-27 06:22:59;37;7;9;0;0;2;3;3;0;0;0
2019-11-27 06:23:58;37;7;9;0;0;2;3;3;0;0;0
2019-11-27 06:24:59;38;7;10;0;0;2;3;3;0;0;0
2019-11-27 06:25:59;38;7;10;0;0;2;3;3;0;0;0
2019-11-27 06:26:59;38;7;10;0;0;2;3;3;0;0;0
2019-11-27 06:27:58;38;7;10;0;0;2;3;3;0;0;0
2019-11-27 06:28:59;37;7;10;0;0;2;3;3;0;0;0
2019-11-27 06:29:58;37;7;10;0;0;2;3;3;0;0;0
2019-11-27 06:30:59;38;8;10;0;0;2;3;3;0;0;0
2019-11-27 06:31:59;38;8;10;0;0;2;3;3;0;0;0
2019-11-27 06:33:00;38;8;10;0;0;2;3;3;0;0;0
2019-11-27 06:33:58;38;8;10;0;0;2;3;3;0;0;0
2019-11-27 06:34:59;40;9;11;0;0;2;3;3;0;0;0
2019-11-27 06:35:59;40;9;11;0;0;2;3;3;0;0;0
2019-11-27 06:36:58;40;9;11;0;0;2;3;3;0;0;0
2019-11-27 06:37:59;40;9;11;0;0;2;3;3;0;0;0
2019-11-27 06:38:59;40;9;11;0;0;2;3;3;0;0;0
2019-11-27 06:39:58;40;9;11;0;0;2;3;3;0;0;0
2019-11-27 06:40:59;40;9;11;0;0;2;3;3;0;0;0
2019-11-27 06:41:59;40;9;11;0;0;2;3;3;0;0;0
2019-11-27 06:42:59;40;9;11;0;0;2;3;3;0;0;0
2019-11-27 06:43:58;41;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:44:59;41;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:45:59;42;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:46:59;42;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:47:58;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:48:59;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:49:59;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:50:58;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:51:59;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:52:59;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:53:58;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:54:59;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:55:59;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:56:58;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:57:59;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:58:59;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 06:59:58;43;10;11;0;0;2;3;3;0;0;0
2019-11-27 07:00:59;44;11;11;0;0;2;3;3;0;0;0
2019-11-27 07:01:59;44;11;11;0;0;2;3;3;0;0;0
2019-11-27 07:02:58;44;11;11;0;0;2;3;3;0;0;0
2019-11-27 07:03:59;45;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:04:59;45;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:05:59;45;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:06:58;45;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:07:59;45;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:08:59;45;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:09:59;45;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:10:58;46;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:11:59;46;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:12:59;46;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:13:58;46;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:14:59;46;11;12;0;0;2;3;3;0;0;0
