datetime;total_votes;Helengar;atomic_gun;Есения;jovan;Hexadecachoron;kotophalk;KOCTOPE3;Zibx;otlup;Klubnichnoe_Milo
2020-02-19 02:21:59;39;11;14;3;2;3;1;2;0;0;0
2020-02-19 02:22:59;39;11;14;3;2;3;1;2;0;0;0
2020-02-19 02:23:58;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:24:59;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:25:59;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:26:58;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:27:59;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:28:59;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:29:58;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:30:59;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:31:59;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:32:59;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:33:58;40;12;14;3;2;3;1;2;0;0;0
2020-02-19 02:34:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:35:58;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:36:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:37:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:38:58;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:39:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:40:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:41:58;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:42:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:43:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:44:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:45:58;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:46:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:47:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:48:58;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:49:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:50:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:51:58;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:52:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:53:59;41;12;15;3;2;3;1;2;0;0;0
2020-02-19 02:55:00;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 02:55:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 02:56:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 02:57:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 02:58:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 02:59:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:00:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:01:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:02:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:03:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:04:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:05:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:06:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:07:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:08:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:09:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:10:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:11:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:12:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:13:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:14:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:15:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:16:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:17:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:18:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:19:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:20:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:21:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:22:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:23:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:24:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:25:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:26:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:27:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:28:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:29:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:30:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:31:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:32:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:33:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:34:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:35:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:36:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:37:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:38:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:39:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:40:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:41:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:42:58;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:43:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:44:59;42;13;15;3;2;3;1;2;0;0;0
2020-02-19 03:45:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:46:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:47:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:48:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:50:00;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:50:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:51:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:52:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:53:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:54:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:55:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:57:00;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:57:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:58:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 03:59:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:00:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:01:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:02:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:03:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:04:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:05:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:06:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:07:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:08:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:09:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:10:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:11:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:12:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:13:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:14:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:15:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:16:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:17:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:18:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:19:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:20:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:21:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:22:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:23:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:24:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:25:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:26:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:27:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:28:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:29:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:30:58;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:31:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:32:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:33:59;43;13;16;3;2;3;1;2;0;0;0
2020-02-19 04:34:58;44;13;16;4;2;3;1;2;0;0;0
2020-02-19 04:35:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:36:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:37:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:38:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:39:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:40:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:41:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:42:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:43:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:44:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:45:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:46:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:47:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:48:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:49:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:50:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:51:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:52:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:53:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:54:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:55:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:56:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:57:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:58:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 04:59:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:00:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:01:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:02:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:03:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:04:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:05:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:06:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:07:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:08:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:09:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:10:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:11:59;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:12:58;45;14;16;4;2;3;1;2;0;0;0
2020-02-19 05:13:59;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:14:58;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:15:59;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:16:59;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:17:59;46;15;16;4;2;3;1;2;0;0;0
