datetime;total_votes;Tae4ka;phoenyxxx;navalny;ZevB3K;Alterdino;Der_Sturmer;rodeo;Noop;phb4;bf6
2019-08-14 03:52:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:53:58;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:54:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:55:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:56:58;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:57:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:58:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:59:58;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 04:00:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 04:01:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 04:02:58;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 04:03:59;68;17;11;0;2;8;3;5;4;2;0
2019-08-14 04:04:59;68;17;11;0;2;8;3;5;4;2;0
2019-08-14 04:05:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:06:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:07:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:08:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:09:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:10:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:11:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:12:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:13:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:14:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:15:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:16:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:17:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:18:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:19:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:20:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:21:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:22:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:23:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:24:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:25:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:26:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:27:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:28:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:29:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:30:58;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:31:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:32:59;69;17;11;0;2;8;3;5;4;3;0
2019-08-14 04:33:58;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:34:59;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:36:00;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:36:58;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:37:59;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:39:00;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:39:58;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:40:59;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:41:58;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:42:59;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:43:59;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:44:59;70;17;11;0;2;8;3;5;5;3;0
