datetime;total_votes;nekto_mozg;Neymar_Junior;shamanka2_0;maria_ego;navalny;vatnostakan;quick_justice;Helter;Ejik;Dirtylieutenant
2020-11-11 06:01:58;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:02:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:03:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:04:58;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:05:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:06:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:07:58;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:08:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:09:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:10:58;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:11:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:12:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:13:58;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:14:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:15:58;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:16:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:17:59;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:18:58;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:19:59;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:20:59;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:21:58;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:22:59;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:23:59;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:24:58;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:25:59;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:26:59;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:27:58;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:28:59;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:29:59;80;30;16;8;4;2;4;0;2;1;3
2020-11-11 06:30:58;80;30;16;8;4;2;4;0;2;1;3
