datetime;total_votes;Mindsplitter;Wiedemann;Tomintoul;KOCTOPE3;Terkin;axxl;Есения;jakesnake;vprock;quick_justice
2021-02-03 03:53:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:54:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:55:58;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:56:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:57:58;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:58:59;58;11;7;19;2;6;1;0;0;1;0
2021-02-03 03:59:59;58;11;7;19;2;6;1;0;0;1;0
2021-02-03 04:00:58;58;11;7;19;2;6;1;0;0;1;0
2021-02-03 04:01:59;58;11;7;19;2;6;1;0;0;1;0
2021-02-03 04:03:00;59;12;7;19;2;6;1;0;0;1;0
2021-02-03 04:03:58;60;13;7;19;2;6;1;0;0;1;0
2021-02-03 04:04:59;60;13;7;19;2;6;1;0;0;1;0
2021-02-03 04:05:58;60;13;7;19;2;6;1;0;0;1;0
2021-02-03 04:06:59;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:07:59;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:08:58;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:09:59;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:10:59;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:11:58;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:12:59;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:13:58;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:14:59;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:15:59;61;14;7;19;2;6;1;0;0;1;0
2021-02-03 04:16:58;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:17:59;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:18:59;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:19:58;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:20:59;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:21:59;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:22:58;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:23:59;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:24:59;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:25:58;62;14;8;19;2;6;1;0;0;1;0
2021-02-03 04:26:59;63;15;8;19;2;6;1;0;0;1;0
2021-02-03 04:27:59;63;15;8;19;2;6;1;0;0;1;0
2021-02-03 04:28:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:29:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:30:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:31:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:32:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:33:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:34:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:35:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:36:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:37:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:38:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:39:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:40:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:41:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:42:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:43:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:44:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:45:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:46:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:47:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:48:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:49:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:50:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:51:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:52:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:53:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:54:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:55:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:56:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:57:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:58:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 04:59:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:00:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:01:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:02:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:03:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:04:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:05:59;64;15;8;20;2;6;1;0;0;1;0
