datetime;total_votes;leprovalentin;Grit;АНАРХИЯ;KOCTOPE3;shamanka2_1;Wiedemann;Rumpelstilzchen;ruweb;Finsternis;shturn
2021-02-10 03:18:59;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:19:59;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:20:58;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:21:59;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:22:58;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:23:59;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:24:58;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:25:59;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:26:58;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:27:59;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:28:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:29:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:30:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:31:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:32:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:33:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:34:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:35:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:36:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:38:00;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:38:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:39:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:40:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:41:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:42:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:43:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:44:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:45:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:46:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:47:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:48:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:49:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:50:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:51:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:52:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:53:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:54:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:55:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:56:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:57:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:58:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 03:59:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:00:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:01:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:02:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:03:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:04:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:05:59;53;0;14;10;7;1;0;7;1;2;0
