datetime;total_votes;thaisia_b;Есения;pupsique;Wiedemann;Terkin;voklo;Bf109H;XASSA;uisky;akuaku
2019-06-05 02:27:58;39;5;6;0;3;2;8;5;0;3;0
2019-06-05 02:28:59;39;4;6;0;3;2;8;6;0;3;0
2019-06-05 02:29:59;39;4;6;0;3;2;8;6;0;3;0
2019-06-05 02:30:58;39;4;6;0;4;2;8;5;0;3;0
2019-06-05 02:31:59;40;5;7;0;3;2;8;5;0;3;0
2019-06-05 02:32:58;40;5;7;0;3;2;8;5;0;3;0
2019-06-05 02:33:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:34:59;41;5;7;0;3;2;9;5;0;3;0
2019-06-05 02:35:58;41;5;7;0;3;2;9;5;0;3;0
2019-06-05 02:36:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:37:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:38:58;41;4;8;0;4;2;8;5;0;3;0
2019-06-05 02:39:59;41;4;8;0;3;2;8;5;0;4;0
2019-06-05 02:40:59;41;4;8;0;3;2;8;5;0;4;0
2019-06-05 02:41:58;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:42:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:43:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:44:58;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:45:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:46:58;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:47:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:48:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:49:58;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:50:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:51:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:52:58;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:53:59;41;5;8;0;3;2;8;5;0;3;0
2019-06-05 02:54:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 02:55:58;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 02:56:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 02:57:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 02:58:58;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 02:59:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:00:58;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:01:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:02:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:03:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:04:58;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:05:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:06:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:07:58;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:08:59;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:09:58;42;5;9;0;3;2;8;5;0;3;0
2019-06-05 03:10:59;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:11:59;43;5;9;0;3;3;8;5;0;3;0
