datetime;total_votes;kross;ruweb;cofee;Kolbasevich;navalny;KOCTOPE3;romanvzromanvz;mrvg;quick_justice;Mindsplitter
2020-07-29 03:45:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:46:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:47:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:48:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:49:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:50:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:51:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:52:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:53:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:54:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:55:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:56:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:57:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:58:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 03:59:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:00:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:01:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:02:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:03:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:04:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:05:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:06:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:07:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:08:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:09:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:10:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:11:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:12:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:13:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:14:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:15:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:16:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:17:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:18:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:19:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:20:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:21:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:22:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:23:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:24:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:25:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:26:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:27:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:28:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:29:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:30:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:31:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:32:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:33:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:34:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:35:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:36:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:37:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:38:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:39:59;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:40:58;38;6;8;4;4;1;0;0;0;1;1
2020-07-29 04:41:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:42:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:43:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:44:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:45:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:46:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:48:00;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:48:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:49:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:50:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:51:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:52:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:53:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:54:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:55:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:56:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:57:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:58:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 04:59:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:00:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:01:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:02:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:03:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:04:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:05:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:06:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:07:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:08:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:09:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:10:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:11:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:12:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:14:00;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:14:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:15:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:16:59;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:17:58;40;6;8;5;4;1;0;2;0;0;1
2020-07-29 05:18:59;41;6;8;5;5;1;0;2;0;0;1
2020-07-29 05:19:59;41;6;8;5;5;1;0;2;0;0;1
2020-07-29 05:20:58;41;6;8;5;5;1;0;2;0;0;1
2020-07-29 05:21:59;41;6;8;5;5;1;0;2;0;0;1
2020-07-29 05:22:59;41;6;8;5;5;1;0;2;0;0;1
2020-07-29 05:23:58;42;7;8;5;5;1;0;2;0;0;1
2020-07-29 05:24:59;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:25:59;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:26:58;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:27:59;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:28:59;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:29:58;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:30:59;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:31:58;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:32:59;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:33:58;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:34:59;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:35:59;43;7;9;5;5;1;0;2;0;0;1
2020-07-29 05:36:58;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:37:59;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:38:58;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:39:59;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:40:58;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:41:59;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:42:58;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:43:59;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:44:58;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:45:59;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:46:59;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:47:58;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:48:59;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:49:59;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:50:58;44;8;9;5;5;1;0;2;0;0;1
2020-07-29 05:51:59;45;8;10;5;5;1;0;2;0;0;1
2020-07-29 05:52:58;45;8;10;5;5;1;0;2;0;0;1
2020-07-29 05:53:58;45;8;10;5;5;1;0;2;0;0;1
2020-07-29 05:54:59;45;8;10;5;5;1;0;2;0;0;1
2020-07-29 05:55:58;45;8;10;5;5;1;0;2;0;0;1
2020-07-29 05:56:59;45;8;10;5;5;1;0;2;0;0;1
2020-07-29 05:57:58;45;8;10;5;5;1;0;2;0;0;1
2020-07-29 05:58:59;45;8;10;5;5;1;0;2;0;0;1
2020-07-29 05:59:59;45;8;10;5;5;1;0;2;0;0;1
2020-07-29 06:00:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:01:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:02:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:03:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:04:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:05:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:06:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:07:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:08:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:09:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:10:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:11:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:12:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:13:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:14:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:15:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:16:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:17:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:18:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:19:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:20:59;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:21:58;46;9;10;5;5;1;0;2;0;0;1
2020-07-29 06:22:59;48;9;11;5;5;2;0;2;0;0;1
2020-07-29 06:23:58;48;9;11;5;5;2;0;2;0;0;1
2020-07-29 06:24:59;49;9;11;5;6;2;0;2;0;0;1
2020-07-29 06:25:59;49;9;11;5;6;2;0;2;0;0;1
2020-07-29 06:26:58;49;9;11;5;6;2;0;2;0;0;1
2020-07-29 06:27:59;49;9;11;5;6;2;0;2;0;0;1
2020-07-29 06:28:58;49;9;11;5;6;2;0;2;0;0;1
2020-07-29 06:29:59;49;9;11;5;6;2;0;2;0;0;1
2020-07-29 06:30:59;51;9;12;5;6;2;0;2;0;0;0
