datetime;total_votes;Shambala;daruta;pupsique;kilogramm;UncleDre;kuznet;Есения;norpo;mama_p_zh;brammator
2019-03-06 03:05:58;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:06:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:08:00;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:08:58;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:09:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:10:58;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:11:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:13:00;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:13:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:14:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:15:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:16:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:17:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:18:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:19:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:20:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:21:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:22:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:23:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:24:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:25:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:26:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:27:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:28:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:29:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:30:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:31:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:32:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:33:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:34:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:35:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:36:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:37:59;48;18;8;0;4;0;2;0;3;0;0
