datetime;total_votes;Mapm;GlobetrotterXL;Hmmm;NoEndOutcry;John_Golt;Yo;brammator;sergoff;Salt;Wiedemann
2019-07-03 04:15:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:16:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:17:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:18:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:19:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:20:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:21:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:22:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:23:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:24:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:25:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:26:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:27:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:28:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:29:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:30:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:31:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:32:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:33:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:34:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:35:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:36:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:37:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:38:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:39:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:40:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:41:59;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:42:59;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:44:00;37;6;9;6;0;0;2;2;2;0;1
