datetime;total_votes;cofee;jovan;thaisia_b;NoEndOutcry;Trollero;cmapukocmankypum;voklo;asap;MishaPepyaka;Goinsane
2019-09-04 05:56:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 05:57:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 05:58:58;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:03:00;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:03:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:04:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:05:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:06:58;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:07:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:08:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:09:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:10:58;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:11:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:12:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:13:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:14:58;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:15:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:16:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:17:58;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:18:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:19:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:20:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:21:58;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:22:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:23:58;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:24:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:25:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:26:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:27:58;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:28:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:29:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:30:59;36;4;3;8;6;2;1;3;0;0;1
2019-09-04 06:31:58;37;4;4;8;6;2;1;3;0;0;1
2019-09-04 06:32:59;37;4;4;8;6;2;1;3;0;0;1
2019-09-04 06:33:59;37;4;4;8;6;2;1;3;0;0;1
