datetime;total_votes;nenastja;SuokSuok;Wiedemann;voklo;bigmouse;DrumBox;ielarud;rockamark;reasonspace;am_vrn
2019-08-28 07:36:58;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:37:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:38:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:39:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:40:58;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:41:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:42:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:43:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:44:58;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:45:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:46:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:47:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:48:58;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:49:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:50:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:51:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:52:58;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:53:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:54:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:55:58;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:56:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:57:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:58:58;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 07:59:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 08:00:59;56;16;0;6;9;4;5;2;2;2;2
2019-08-28 08:01:59;56;17;0;6;9;3;5;2;2;2;2
2019-08-28 08:02:58;56;17;0;6;9;3;5;2;2;2;2
2019-08-28 08:03:59;56;17;0;6;9;3;5;2;2;2;2
2019-08-28 08:04:59;56;17;0;6;9;3;5;2;2;2;2
2019-08-28 08:05:59;56;17;0;6;9;3;5;2;2;2;2
2019-08-28 08:06:58;56;17;0;6;9;3;5;2;2;2;2
2019-08-28 08:07:59;56;17;0;6;9;3;5;2;2;2;2
2019-08-28 08:08:59;56;17;0;6;9;3;5;2;2;2;2
2019-08-28 08:09:59;56;17;0;6;9;3;5;2;2;2;2
2019-08-28 08:10:58;57;18;0;6;9;3;5;2;2;2;2
2019-08-28 08:11:59;57;18;0;6;9;3;5;2;2;2;2
2019-08-28 08:12:59;57;18;0;6;9;3;5;2;2;2;2
2019-08-28 08:13:59;57;18;0;6;9;3;5;2;2;2;2
2019-08-28 08:14:58;57;18;0;6;9;3;5;2;2;2;2
2019-08-28 08:15:59;57;18;0;6;9;3;5;2;2;2;2
2019-08-28 08:16:59;57;18;0;6;9;3;5;2;2;2;2
2019-08-28 08:17:58;57;18;0;6;9;3;5;2;2;2;2
2019-08-28 08:18:59;59;19;0;7;9;3;5;2;2;2;2
2019-08-28 08:19:59;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:20:58;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:21:59;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:22:59;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:23:59;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:24:58;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:25:59;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:26:59;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:27:59;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:28:58;60;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:29:59;61;20;0;7;9;3;5;2;2;2;2
2019-08-28 08:30:59;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:31:58;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:32:59;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:33:59;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:34:59;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:35:58;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:36:59;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:37:59;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:38:58;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:39:59;62;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:40:59;63;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:41:58;63;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:42:59;63;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:43:59;63;20;2;7;9;3;5;2;2;2;2
2019-08-28 08:44:59;63;20;2;8;8;3;5;2;2;2;2
2019-08-28 08:45:58;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:46:59;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:47:59;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:48:59;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:49:58;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:50:59;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:51:59;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:52:58;64;21;2;8;8;3;5;2;2;2;2
