datetime;total_votes;Oleum;Grit;KOCTOPE3;Dirtylieutenant;UndeadMoroz;Bruja_;a5urbanipa1;raaxiom;napa3um;1917
2020-12-30 04:04:59;54;12;16;1;2;2;3;0;2;0;2
2020-12-30 04:05:58;54;12;16;1;2;2;3;0;2;0;2
2020-12-30 04:06:59;54;12;16;1;2;2;3;0;2;0;2
2020-12-30 04:07:59;54;12;16;1;2;2;3;0;2;0;2
2020-12-30 04:09:00;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:09:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:10:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:11:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:12:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:13:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:15:00;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:15:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:16:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:17:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:18:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:19:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:20:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:21:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:22:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:23:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:24:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:25:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:26:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:27:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:28:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:29:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:30:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:31:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:32:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:33:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:34:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:35:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:36:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:37:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:38:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:39:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:40:58;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:41:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:42:59;54;13;15;1;2;2;3;0;2;0;2
2020-12-30 04:44:00;55;13;15;1;2;3;3;0;2;0;2
2020-12-30 04:44:58;55;13;15;1;2;3;3;0;2;0;2
2020-12-30 04:45:59;55;13;15;1;2;3;3;0;2;0;2
2020-12-30 04:46:58;55;13;15;1;2;3;3;0;2;0;2
2020-12-30 04:47:59;55;13;15;1;2;3;3;0;2;0;2
2020-12-30 04:48:59;55;13;15;1;2;3;3;0;2;0;2
2020-12-30 04:49:58;55;13;15;1;2;3;3;0;2;0;2
2020-12-30 04:50:59;55;13;15;1;2;3;3;0;2;0;2
2020-12-30 04:51:59;56;14;15;1;2;3;3;0;2;0;2
2020-12-30 04:52:58;56;14;15;1;2;3;3;0;2;0;2
2020-12-30 04:53:59;56;14;15;1;2;3;3;0;2;0;2
2020-12-30 04:54:58;56;14;15;1;2;3;3;0;2;0;2
2020-12-30 04:55:59;56;14;15;1;2;3;3;0;2;0;2
2020-12-30 04:56:58;56;14;15;1;2;3;3;0;2;0;2
2020-12-30 04:57:59;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 04:58:59;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 04:59:58;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:00:59;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:01:59;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:02:58;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:03:59;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:04:59;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:05:58;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:06:59;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:07:59;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:08:58;57;14;16;1;2;3;3;0;2;0;2
2020-12-30 05:09:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:10:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:11:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:12:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:13:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:14:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:15:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:16:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:17:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:18:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:19:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:20:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:21:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:22:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:23:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:24:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:25:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:26:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:27:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:28:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:29:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:30:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:31:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:32:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:33:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:34:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:35:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:36:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:37:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:38:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:39:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:40:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:41:58;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:42:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:43:59;58;14;17;1;2;3;3;0;2;0;2
2020-12-30 05:44:58;59;14;18;1;2;3;3;0;2;0;2
2020-12-30 05:45:59;60;14;19;1;2;3;3;0;2;0;2
2020-12-30 05:46:59;60;14;19;1;2;3;3;0;2;0;2
2020-12-30 05:47:58;60;14;19;1;2;3;3;0;2;0;2
2020-12-30 05:48:59;60;14;19;1;2;3;3;0;2;0;2
2020-12-30 05:49:59;60;14;19;1;2;3;3;0;2;0;2
2020-12-30 05:50:58;61;14;20;1;2;3;3;0;2;0;2
2020-12-30 05:51:59;61;14;20;1;2;3;3;0;2;0;2
2020-12-30 05:52:58;61;14;20;1;2;3;3;0;2;0;2
2020-12-30 05:53:59;61;14;20;1;2;3;3;0;2;0;2
2020-12-30 05:54:58;61;14;20;1;2;3;3;0;2;0;2
2020-12-30 05:55:59;61;14;20;1;2;3;3;0;2;0;2
2020-12-30 05:56:58;61;14;20;1;2;3;3;0;2;0;2
2020-12-30 05:57:59;62;14;21;1;2;3;3;0;2;0;2
2020-12-30 05:58:59;62;14;21;1;2;3;3;0;2;0;2
2020-12-30 05:59:58;62;14;21;1;2;3;3;0;2;0;2
2020-12-30 06:00:59;62;14;21;1;2;3;3;0;2;0;2
2020-12-30 06:01:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:02:58;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:03:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:04:58;64;14;22;1;3;3;3;0;2;0;2
