datetime;total_votes;Hexadecachoron;megaslowpoke;jovan;Есения;navalny;quick_justice;aeroplanchik;Rumpelstilzchen;megalomaniac;kiLstrom
2020-08-26 06:16:59;57;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:17:58;57;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:18:59;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:19:59;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:20:58;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:21:59;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:22:59;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:23:58;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:24:59;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:25:59;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:26:58;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:27:59;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:28:59;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:29:58;58;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:30:59;58;14;9;0;7;0;4;0;2;3;2
