datetime;total_votes;leprovalentin;Plancus;daruta;KOCTOPE3;Rumpelstilzchen;yachik;Есения;X-Rayer;pupsique;madcore
2019-02-20 03:18:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:19:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:20:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:21:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:22:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:23:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:24:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:25:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:26:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:27:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:28:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:29:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:30:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:31:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:32:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:33:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:34:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:35:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:36:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:37:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:38:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:39:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:40:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:41:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:42:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:43:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:44:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:45:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:46:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:47:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:48:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:49:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:50:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:51:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:52:58;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:53:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 03:54:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 03:55:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 03:56:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 03:57:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 03:58:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 03:59:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:00:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:01:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:02:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:03:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:04:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:05:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:06:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:07:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:08:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:09:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:10:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:11:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:12:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:13:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:14:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:15:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:16:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:17:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:18:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:19:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:20:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:21:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:22:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:23:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:24:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:25:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:26:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:27:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:28:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:29:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:30:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:31:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:32:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:33:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:34:58;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:35:59;42;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:36:58;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:37:59;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:38:59;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:39:58;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:40:59;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:41:58;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:42:59;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:43:59;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:44:58;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:45:59;43;11;13;6;2;3;2;0;0;0;1
2019-02-20 04:47:00;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:47:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:48:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:49:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:50:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:51:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:52:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:53:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:54:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:55:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:56:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:57:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:58:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 04:59:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:00:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:01:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:02:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:04:00;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:04:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:05:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:06:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:07:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:08:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:09:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:10:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:11:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:12:58;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:13:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:14:59;44;11;13;7;2;3;2;0;0;0;1
2019-02-20 05:15:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:16:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:17:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:18:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:19:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:20:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:21:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:22:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:23:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:24:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:25:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:26:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:27:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:28:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:29:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:30:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:31:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:32:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:33:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:34:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:35:58;45;11;14;7;2;3;2;0;0;0;1
