datetime;total_votes;heroin;Rumpelstilzchen;1917;navalny;Zippymax;quick_justice;shamanka2_0;Fill;HugoStiglitz;UndeadMoroz
2020-10-14 02:41:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:42:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:43:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:44:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:45:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:46:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:47:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:48:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:49:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:50:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:51:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:52:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:53:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:54:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:55:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:56:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:57:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:58:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 02:59:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:00:58;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:01:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:02:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:03:58;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:04:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:05:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:07:00;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:07:58;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:08:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:09:58;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:10:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:11:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:12:58;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:13:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:14:59;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:15:58;54;5;16;12;1;0;0;3;0;5;0
2020-10-14 03:16:59;55;5;17;12;1;0;0;3;0;5;0
2020-10-14 03:17:59;55;5;17;12;1;0;0;3;0;5;0
2020-10-14 03:18:58;55;5;17;12;1;0;0;3;0;5;0
2020-10-14 03:19:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:20:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:21:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:22:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:23:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:24:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:25:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:26:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:27:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:28:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:29:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:30:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:31:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:32:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:33:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:34:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:35:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:36:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:37:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:38:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:39:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:40:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:41:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:42:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:43:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:44:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:45:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:46:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:47:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:48:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:49:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:50:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:51:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:52:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:53:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:54:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:55:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:56:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:57:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:58:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 03:59:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 04:00:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 04:01:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 04:02:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 04:03:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 04:04:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 04:05:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 04:06:59;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 04:07:58;56;5;17;12;1;0;2;3;0;5;1
2020-10-14 04:08:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:10:00;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:10:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:11:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:12:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:13:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:14:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:15:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:16:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:17:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:18:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:19:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:20:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:21:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:22:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:23:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:24:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:25:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:26:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:27:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:28:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:29:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:30:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:31:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:32:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:33:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:34:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:35:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:36:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:37:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:38:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:39:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:40:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:41:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:42:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:43:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:44:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:45:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:46:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:47:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:48:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:49:59;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:50:58;57;5;17;12;1;0;2;3;0;5;0
2020-10-14 04:51:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 04:52:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 04:53:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 04:54:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 04:55:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 04:56:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 04:57:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 04:58:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 04:59:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:00:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:01:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:02:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:03:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:04:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:05:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:06:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:07:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:08:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:09:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:10:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:11:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:12:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:13:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:14:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:15:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:16:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:17:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:18:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:19:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:20:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:22:00;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:22:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:23:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:24:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:25:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:26:59;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:27:58;58;6;17;12;1;0;2;3;0;5;0
2020-10-14 05:28:59;59;7;17;12;1;0;2;3;0;5;0
2020-10-14 05:29:59;59;7;17;12;1;0;2;3;0;5;0
2020-10-14 05:30:58;59;7;17;12;1;0;2;3;0;5;0
2020-10-14 05:31:59;60;8;17;12;1;0;2;3;0;5;0
2020-10-14 05:32:59;60;8;17;12;1;0;2;3;0;5;0
2020-10-14 05:33:58;61;9;17;12;1;0;2;3;0;5;0
2020-10-14 05:34:59;61;9;17;12;1;0;2;3;0;5;0
2020-10-14 05:35:59;61;9;17;12;1;0;2;3;0;5;0
2020-10-14 05:36:58;61;9;17;12;1;0;2;3;0;5;0
2020-10-14 05:37:59;61;9;17;12;1;0;2;3;0;5;0
2020-10-14 05:38:59;61;9;17;12;1;0;2;3;0;5;0
2020-10-14 05:39:58;61;9;17;12;1;0;2;3;0;5;0
