datetime;total_votes;Shambala;quick_justice;KOCTOPE3;shamanka2_1;Rumpelstilzchen;NAFA;Dirtylieutenant;EMAILWARENFABRIK;Есения;a5urbanipa1
2021-02-17 03:33:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:34:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:35:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:36:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:37:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:38:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:39:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:40:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:41:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:42:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:43:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:44:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:45:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:46:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:47:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:48:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:49:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:50:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:51:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:52:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:53:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:54:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:55:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:56:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:57:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:58:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:59:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:00:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:01:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:02:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:03:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:05:00;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:05:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:06:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:07:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:08:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:09:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:10:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:11:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:12:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:13:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:14:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:15:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:16:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:17:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:18:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:19:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:20:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:21:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:22:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:23:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:24:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:25:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:26:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:27:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:28:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:29:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:30:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:31:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:32:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:33:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:34:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:35:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:36:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:37:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:38:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:39:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:40:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:41:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:42:58;45;3;13;5;0;8;0;1;0;1;0
