datetime;total_votes;xtal;tutabrain;KOCTOPE3;Krokodilov_Gena;Tae4ka;bf6;brammator;kiLstrom;Mapm;kotophalk
2019-11-13 03:35:58;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:36:59;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:37:59;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:39:00;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:39:58;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:40:59;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:41:59;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:42:58;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:43:59;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:44:59;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:46:00;44;8;8;7;4;0;0;0;0;0;2
2019-11-13 03:46:58;45;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:47:59;45;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:48:59;45;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:49:58;45;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:50:59;45;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:51:59;45;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:52:59;45;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:53:58;45;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:54:59;46;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:55:59;46;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:56:58;46;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:57:59;46;9;8;7;4;0;0;0;0;0;2
2019-11-13 03:58:59;46;9;8;7;4;0;0;0;0;0;2
2019-11-13 04:00:00;46;9;8;7;4;0;0;0;0;0;2
2019-11-13 04:00:58;46;9;8;7;4;0;0;0;0;0;2
2019-11-13 04:01:59;46;9;8;7;4;0;0;0;0;0;2
2019-11-13 04:02:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:03:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:04:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:05:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:06:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:07:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:08:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:09:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:10:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:11:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:12:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:13:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:14:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:15:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:16:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:17:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:18:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:19:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:20:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:21:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:22:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:23:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:24:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:25:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:26:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:27:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:28:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:29:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:30:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:31:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:32:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:33:58;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:34:59;47;9;9;7;4;0;0;0;0;0;2
2019-11-13 04:35:59;48;10;9;7;4;0;0;0;0;0;2
