datetime;total_votes;TheWho;Grit;transistor;navalny;EMAILWARENFABRIK;megaslowpoke;tutabrain;quick_justice;Есения;a5urbanipa1
2020-09-16 04:52:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:53:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:54:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:55:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:56:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:57:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:58:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:00:00;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:00:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:01:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:02:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:03:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:04:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:05:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:06:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:07:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:08:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:09:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:10:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:11:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:12:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:13:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 05:14:58;46;16;5;7;0;3;2;0;2;0;0
2020-09-16 05:15:59;46;16;5;7;0;3;2;0;2;0;0
2020-09-16 05:16:58;46;16;5;7;0;3;2;0;2;0;0
2020-09-16 05:17:59;46;16;5;7;0;3;2;0;2;0;0
2020-09-16 05:18:58;46;16;5;7;0;3;2;0;2;0;0
2020-09-16 05:19:59;46;16;5;7;0;3;2;0;2;0;0
2020-09-16 05:20:59;46;16;5;7;0;3;2;0;2;0;0
2020-09-16 05:21:58;46;16;5;7;0;3;2;0;2;0;0
2020-09-16 05:22:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:23:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:24:58;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:25:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:26:58;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:27:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:28:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:30:00;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:30:58;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:31:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:32:58;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:33:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:34:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:35:58;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:36:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:37:59;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:38:58;47;17;5;7;0;3;2;0;2;0;0
2020-09-16 05:39:59;49;17;7;7;0;3;2;0;2;0;0
2020-09-16 05:40:59;50;17;8;7;0;3;2;0;2;0;0
2020-09-16 05:41:58;51;17;9;7;0;3;2;0;2;0;0
2020-09-16 05:42:59;51;17;9;7;0;3;2;0;2;0;0
2020-09-16 05:43:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:44:58;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:45:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:46:58;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:47:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:48:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:49:58;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:50:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:51:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:52:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:53:58;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:54:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:55:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:56:58;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:57:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:58:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 05:59:58;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:00:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:01:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:02:58;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:03:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:04:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:05:58;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:06:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:07:58;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:08:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:09:59;52;17;10;7;0;3;2;0;2;0;0
2020-09-16 06:10:58;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:11:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:12:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:13:58;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:14:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:15:58;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:16:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:17:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:18:58;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:19:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:20:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:21:58;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:22:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:23:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:24:58;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:25:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:26:58;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:27:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:28:59;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:29:58;54;17;12;7;0;3;2;0;2;0;0
2020-09-16 06:30:59;54;17;12;7;0;3;2;0;2;0;0
