datetime;total_votes;Hemml;KOCTOPE3;pupsique;Patagonia;megalomaniac;Palad1n;Gugomat;jovan;Есения;Der_Sturmer
2019-04-17 03:58:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:59:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:00:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:01:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:02:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:03:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:04:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:05:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:06:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:07:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:08:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:09:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:10:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:11:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:12:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:13:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:14:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:15:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:16:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:17:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:18:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:19:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:20:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:21:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:22:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:23:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:24:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:25:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:26:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:27:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:28:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:29:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:30:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:31:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:32:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:33:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:34:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:35:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:36:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:37:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:38:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:39:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:40:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:41:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:42:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:43:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:44:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:45:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:46:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:47:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:48:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:49:59;36;0;5;2;7;0;4;4;0;0;2
