datetime;total_votes;redslot;phoenyxxx;navalny;Plancus;FRANNI;jakesnake;Terkin;LumberJack;bf6;isen
2020-06-03 04:53:58;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:54:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:55:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:56:58;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:57:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:58:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:59:58;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 05:00:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 05:01:58;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 05:02:59;75;21;18;0;6;6;0;0;3;2;2
2020-06-03 05:03:59;76;21;19;0;6;6;0;0;3;2;2
2020-06-03 05:04:58;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:05:59;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:06:58;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:07:59;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:08:59;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:09:58;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:10:59;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:11:58;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:12:59;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:13:59;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:14:58;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:15:59;77;22;19;0;6;6;0;0;3;2;2
2020-06-03 05:16:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:17:58;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:18:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:19:58;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:20:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:21:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:22:58;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:23:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:24:58;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:25:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:26:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:27:58;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:28:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:29:58;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:30:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:31:58;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:32:59;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:33:58;78;23;19;0;6;6;0;0;3;2;2
2020-06-03 05:34:59;79;24;19;0;6;6;0;0;3;2;2
2020-06-03 05:35:59;79;24;19;0;6;6;0;0;3;2;2
2020-06-03 05:36:58;79;24;19;0;6;6;0;0;3;2;2
2020-06-03 05:37:59;79;24;19;0;6;6;0;0;3;2;2
2020-06-03 05:38:59;79;24;19;0;6;6;0;0;3;2;2
2020-06-03 05:39:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:40:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:41:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:42:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:43:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:44:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:45:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:46:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:47:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:48:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:49:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:50:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:51:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:52:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:53:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:54:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:55:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:56:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:57:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:58:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 05:59:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:00:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:01:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:02:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:03:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:05:00;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:05:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:06:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:07:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:08:58;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:09:59;80;24;20;0;6;6;0;0;3;2;2
2020-06-03 06:10:59;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:11:58;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:13:00;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:13:58;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:14:59;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:15:59;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:16:58;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:17:59;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:18:58;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:19:59;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:20:58;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:21:59;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:22:58;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:23:59;81;24;21;0;6;6;0;0;3;2;2
2020-06-03 06:24:58;82;25;21;0;6;6;0;0;3;2;2
2020-06-03 06:25:59;82;25;21;0;6;6;0;0;3;2;2
2020-06-03 06:26:58;82;25;21;0;6;6;0;0;3;2;2
2020-06-03 06:27:59;83;26;21;0;6;6;0;0;3;2;2
2020-06-03 06:28:59;83;26;21;0;6;6;0;0;3;2;2
2020-06-03 06:29:58;83;26;21;0;6;6;0;0;3;2;2
2020-06-03 06:30:59;83;26;21;0;6;6;0;0;3;2;2
2020-06-03 06:31:59;83;26;21;0;6;6;0;0;3;2;2
2020-06-03 06:32:58;83;26;21;0;6;6;0;0;3;2;2
